Name,Origin,Impact,Link
"Distracted Boyfriend","A stock photo from 2015 depicting a man looking at another woman while holding his partner's hand.","Used to represent infidelity or distraction, it became a widely recognized meme symbolizing various forms of temptation.","https://knowyourmeme.com/memes/distracted-boyfriend"
"Doge","2010 photograph of a Shiba Inu dog accompanied by multicolored text in Comic Sans font representing the dog's inner monologue.","Popularized phrases like 'such wow' and led to the creation of Dogecoin, a cryptocurrency.","https://knowyourmeme.com/memes/doge"
"Pepe the Frog","Created by Matt Furie in 2005 for his comic 'Boy's Club.'","Initially a harmless meme, it was later co-opted by various internet groups, leading to controversial associations.","https://knowyourmeme.com/memes/pepe-the-frog"
"Success Kid","2007 photo of a toddler clenching his fist with a determined facial expression.","Used to convey personal success or achievement.","https://knowyourmeme.com/memes/success-kid-i-hate-sandcastles"
"Grumpy Cat","2012 photo of a cat named Tardar Sauce with a distinct frown.","Became a symbol for displeasure and spawned a wide range of merchandise and media appearances.","https://knowyourmeme.com/memes/grumpy-cat"
"Bad Luck Brian","2012 yearbook photo of Kyle Craven wearing braces and a vest.","Represents a person who experiences frequent misfortune.","https://knowyourmeme.com/memes/bad-luck-brian"
"Roll Safe","Screenshot from the 2016 web series 'Hood Documentary' featuring actor Kayode Ewumi pointing to his temple.","Used to depict flawed logic or clever thinking.","https://knowyourmeme.com/memes/roll-safe"
"Mocking SpongeBob","2017 image of SpongeBob SquarePants from the episode 'Little Yellow Book,' where he mimics a chicken.","Employed to mock or imitate someone in a sarcastic manner.","https://knowyourmeme.com/memes/mocking-spongebob"
"Is This a Pigeon?","Scene from the 1991 anime 'The Brave Fighter of Sun Fighbird,' where a character mistakes a butterfly for a pigeon.","Used to question misidentifications or misconceptions.","https://knowyourmeme.com/memes/is-this-a-pigeon"
"Woman Yelling at a Cat","Combination of a 2011 'Real Housewives' screenshot and a 2018 photo of a confused-looking cat named Smudge.","Highlights misunderstandings or mismatched reactions.","https://knowyourmeme.com/memes/woman-yelling-at-a-cat"
"Expanding Brain","2017 image series depicting the human brain expanding in relation to the depth of thought.","Satirizes the perceived complexity or intelligence of various ideas.","https://knowyourmeme.com/memes/expanding-brain"
"Arthur's Fist","1996 screenshot from the children's show 'Arthur,' showing the character's clenched fist.","Represents suppressed anger or frustration.","https://knowyourmeme.com/memes/arthurs-fist"
"Drake Hotline Bling","2015 music video by Drake, where he makes contrasting gestures.","Used to express preferences between two options.","https://knowyourmeme.com/memes/drakeposting"
"Two Buttons","2014 comic by artist Jacob Andrews, depicting a man sweating over which of two buttons to press.","Illustrates difficult choices or dilemmas.","https://knowyourmeme.com/memes/daily-struggle-two-buttons"
"Left Exit 12 Off Ramp","2013 stock photo of a car swerving onto an off-ramp.","Symbolizes sudden changes in decisions or priorities.","https://knowyourmeme.com/memes/left-exit-12-off-ramp"
"Epic Handshake","Scene from the 1987 film 'Predator,' featuring a muscular handshake between characters Dutch (Arnold Schwarzenegger) and Dillon (Carl Weathers).","Symbolizes unexpected alliances or agreements between different groups or individuals.","https://knowyourmeme.com/memes/epic-handshake"
"Hide the Pain Harold","Stock photos of Hungarian man András Arató, whose facial expression appears to mask inner pain.","Represents concealed discomfort or existential dread in humorous contexts.","https://knowyourmeme.com/memes/hide-the-pain-harold"
"Y U No Guy","Character from the Japanese manga 'Gantz,' redrawn to express frustration, first appearing online in 2010.","Used to question and express annoyance at various situations or behaviors.","https://knowyourmeme.com/memes/y-u-no-guy"
"Condescending Wonka","Still from the 1971 film 'Willy Wonka & the Chocolate Factory,' featuring Gene Wilder as Willy Wonka.","Employed to convey sarcasm or patronizing attitudes toward various topics.","https://knowyourmeme.com/memes/condescending-wonka"
"Ermahgerd","2012 image of a young girl excitedly holding 'Goosebumps' books, with the caption mimicking a lisping pronunciation of 'Oh my God.'","Parodies overexcitement and enthusiasm, often in a humorous, exaggerated manner.","https://knowyourmeme.com/memes/ermahgerd"
"Overly Attached Girlfriend","2012 YouTube video by Laina Morris, parodying Justin Bieber's 'Boyfriend' with obsessive lyrics.","Represents clingy or overly possessive behavior in relationships.","https://knowyourmeme.com/memes/overly-attached-girlfriend"
"Philosoraptor","Image macro featuring a Velociraptor pondering deep philosophical questions, first appearing in 2008.","Combines humor with philosophical or paradoxical inquiries.","https://knowyourmeme.com/memes/philosoraptor"
"Scumbag Steve","2006 photo of Blake Boston wearing a backward cap and jacket with a fur collar.","Symbolizes unethical or obnoxious behavior, often at the expense of others.","https://knowyourmeme.com/memes/scumbag-steve"
"Ancient Aliens","Still from the History Channel's 'Ancient Aliens' series, featuring Giorgio A. Tsoukalos gesturing with his hands.","Used to humorously attribute unexplained phenomena to extraterrestrial influences.","https://knowyourmeme.com/memes/ancient-aliens"
"First World Problems","Image macro series featuring a person crying, highlighting trivial inconveniences experienced in affluent societies.","Satirizes the tendency to complain about minor issues, contrasting them with more serious global problems.","https://knowyourmeme.com/memes/first-world-problems"
"Good Guy Greg","2011 image macro featuring a smiling man with a cigarette, representing a kind and considerate individual.","Highlights positive behaviors and acts of kindness, serving as a counter to negative stereotypes.","https://knowyourmeme.com/memes/good-guy-greg"
"Socially Awkward Penguin","Image macro featuring a penguin on a blue background, first appearing in 2009.","Depicts uncomfortable or embarrassing social situations, resonating with those who experience social anxiety.","https://knowyourmeme.com/memes/socially-awkward-penguin"
"Nyan Cat","2011 YouTube video featuring an animated cat with a Pop-Tart body flying through space, leaving a rainbow trail, set to a catchy Japanese pop song.","Became a viral sensation, representing the whimsical and absurd side of internet culture.","https://knowyourmeme.com/memes/nyan-cat"
"Trollface","Crudely drawn face with a mischievous grin, created by Carlos Ramirez in 2008 to represent internet trolls.","Symbolizes pranks, mischief, and trolling behavior online.","https://knowyourmeme.com/memes/trollface"
"Forever Alone","Rage comic character with a tear-streaked face, representing loneliness and social isolation.","Used to express feelings of loneliness or rejection in a humorous, self-deprecating manner.","https://knowyourmeme.com/memes/forever-alone"
"Me Gusta","Rage comic face with a distorted expression, created by artist Matt Oswald in 2010, used to convey perverse pleasure.","Employed to express enjoyment of awkward or unconventional situations.","https://knowyourmeme.com/memes/me-gusta"
"Yao Ming Face","Stylized drawing of basketball player Yao Ming laughing, based on a press conference image from 2009.","Used to dismiss or mock trivial issues, conveying a carefree attitude.","https://knowyourmeme.com/memes/yao-ming-face"
"Dat Boi","2016 meme featuring a 3D-rendered frog riding a unicycle, often accompanied by the phrase 'Here come dat boi! Oh shit waddup!'","Embraced for its randomness and absurdity, exemplifying surreal internet humor.","https://knowyourmeme.com/memes/dat-boi"
"Loss (//)","2008 webcomic strip from 'Ctrl+Alt+Del' depicting a miscarriage, abstracted into a minimalist form.","Became a meta-meme, with users referencing its structure in various creative ways, often to satirize forced drama in webcomics.","https://knowyourmeme.com/memes/loss"
"This Is Fine","2013 webcomic by K.C. Green, showing a dog sitting in a burning room, calmly stating, 'This is fine.'","Represents denial or acceptance of a disastrous situation, often used to comment on personal or societal issues.","https://knowyourmeme.com/memes/this-is-fine"
"Surprised Pikachu","Still from the Pokémon animated series featuring Pikachu with a shocked expression. First used as a meme in 2018.","Often used to humorously depict situations where someone is surprised by an outcome that was completely predictable.","https://knowyourmeme.com/memes/surprised-pikachu"
"Galaxy Brain","A meme format that started as an ironic depiction of increasing intelligence, typically with an expanding brain.","Used to highlight overly complicated ideas or the absurdity of thinking one is intellectually superior.","https://knowyourmeme.com/memes/galaxy-brain"
